smiles,logS
c1coc(CNCCCNc2ccnc3cc(Cc4ccc5c(c4)OCO5)ccc23)c1,-4.49485
c1coc(CNCCCNc2ccnc3cc(CC4CCCCC4)ccc23)c1,-5.37675
c1coc(CNCCCNc2ccnc3cc(C4CCCCC4)ccc23)c1,-5.37675
c1coc(CNCCCNc2ccnc3cc(-c4cccc5ccccc45)ccc23)c1,-4.49485
c1coc(CN2CN=C3Nc4ccccc4N3C2)c1,-3.86
c1coc(C2=NCCc3ccccc32)c1,-3.85
c1coc(-c2nnc(SCc3cccc4ccccc34)o2)c1,-5.48906
c1coc(-c2nnc(Cc3cccc4ccccc34)o2)c1,-5.44137
c1coc(-c2nnc(-c3ccco3)nn2)c1,-4.36
c1coc(-c2nc3ccccc3[nH]2)c1,-3.414
c1coc(-c2nc3[nH]ncc3cc2-c2ccncn2)c1,-2.94909
c1coc(-c2ccnc(-n3cccc3)n2)c1,-5.12
c1coc(-c2ccnc(-c3ccncc3)n2)c1,-3.82
c1coc(-c2cc(-c3nccs3)cc(-c3ccc(-c4nccs4)cc3)n2)c1,-6
c1cnn(Cc2cnc(N3CCOCC3)s2)c1,-3.98
c1cnn(-c2cncc(-n3cccn3)n2)c1,-4.31
c1cncc([C@@H]2CCCCN2)c1,0.7898
c1cncc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)c1,-4.72584
c1cncc(Nc2nc3c(s2)CCc2n[nH]cc2-3)c1,-4.76955
c1cncc(Nc2nc3c(s2)CCCc2n[nH]cc2-3)c1,-5.42022
c1cncc(Nc2c3ccccc3nc3ccccc23)c1,-5.13
c1cncc(Nc2c3ccccc3[nH+]c3ccccc23)c1,-5.13
c1cncc(C[NH2+]Cc2ccco2)c1,-3.75
c1cncc(C[NH2+]CCc2ccc3c(c2)OCO3)c1,-3.69
c1cncc(C[NH2+]CCc2c[nH]c3ccccc23)c1,-3.82
c1cncc(C[NH2+]C2CCCCC2)c1,-3.75
c1cncc(C[NH2+]C2CCCC2)c1,-3.68
c1cncc(CSc2nnc3ccc(-c4ccncc4)nn23)c1,-3.88
c1cncc(CSc2nnc3ccc(-c4cccs4)nn23)c1,-3.97
c1cncc(CSc2nnc3ccc(-c4ccco4)nn23)c1,-4.03
c1cncc(CSc2ccc(-c3cccnc3)nn2)c1,-4.01
c1cncc(CSc2ccc(-c3ccc4c(c3)OCO4)nn2)c1,-5.05
c1cncc(CNc2ncnc3sc4c(c23)CCC4)c1,-4.58
c1cncc(CNc2ncn[nH]2)c1,-3.91
c1cncc(CNc2nc[nH]n2)c1,-3.91
c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1,-3.82
c1cncc(C2OCC3(CO2)COC(c2cccnc2)OC3)c1,-3.82
c1cncc(C2Nc3cccc4cccc(c34)N2)c1,-3.82
c1cncc(C2CCCN2c2ccnc3[nH]ncc23)c1,-3
c1cncc(C(c2nnnn2C2CCCCC2)[NH+]2CCCCC2)c1,-4.02
c1cncc(C(c2nnnn2C2CCCCC2)N2CCCCC2)c1,-4.02
c1cncc(-c2noc(-c3ccc4ccccc4c3)n2)c1,-6.14
c1cncc(-c2nccnc2OC2CN(c3ccc4ccccc4n3)C2)c1,-3.87615
c1cncc(-c2nc3ccccc3s2)c1,-3.97
c1cncc(-c2nc(NCC3CCCO3)c3ccccc3n2)c1,-3.82
c1cncc(-c2nc(N3CCOCC3)c3c4c(sc3n2)CCC4)c1,-5.49
c1cncc(-c2nc(-c3ccc4c(c3)OCCO4)cs2)c1,-4.81
c1cncc(-c2csc(-c3cccnc3)n2)c1,-3.82
c1cncc(-c2ccnc3[nH]ccc23)c1,-2.69897
c1cncc(-c2ccnc(-c3nnc(Nc4ccc(CN5CCCC5)cc4)o3)c2)c1,-2.6004
c1cncc(-c2ccc3ncc(-c4cccnc4)n3n2)c1,-3.43664
c1cnc2nc(CSc3ncn[nH]3)cn2c1,-3.83
c1cnc2nc(CSc3nc[nH]n3)cn2c1,-3.83
c1cnc2ccc(Cn3nnc4nccnc43)cc2c1,-3.29158
c1cnc2ccc(Cn3nnc4ncc(-c5cnn([C@@H]6CCNC6)c5)nc43)cc2c1,-4.21896
c1cnc2ccc(Cn3nnc4ncc(-c5cnn(CCN6CCCC6)c5)nc43)cc2c1,-3.5986
c1cnc2ccc(Cn3nnc4ncc(-c5cnn(C6CCNCC6)c5)nc43)cc2c1,-4.96658
c1cnc2ccc(Cn3nnc4ncc(-c5cn[nH]c5)nc43)cc2c1,-5.25337
c1cnc2ccc(-c3ccc4ncccc4c3)cc2c1,-4.52
c1cnc2c(c1)CCN2c1ccnc2[nH]ccc12,-3.60206
c1cnc2c(-c3ccc4ncc(-c5ccncc5)n4n3)cccc2c1,-3.50969
c1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,-3
c1cnc(Sc2ccc3nnnn3n2)nc1,-4.19
c1cnc(Nc2ncnc3ccc(-c4nccc(N5CCOCC5)n4)cc23)nc1,-3
c1cnc(Nc2ncnc3ccc(-c4ccnc(N5CCOCC5)n4)cc23)nc1,-4.5376
c1cnc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)nc1,-4.77728
c1cnc(Nc2nc3c(s2)CCc2n[nH]cc2-3)nc1,-4.69897
c1cnc(Nc2nc3c(s2)CCCc2n[nH]cc2-3)cn1,-4.10791
c1cnc(N2CC[NH2+]CC2)nc1,-3.67
c1cnc(N2CC[NH+](Cc3ccc4c(c3)OCO4)CC2)nc1,-3.7
c1cnc(N2CC[NH+](Cc3ccc4c(c3)OCO4)CC2)cn1,-3.83
c1cnc(N2CCN(c3ccc4ccccc4n3)CC2)nc1,-5.35
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)cn1,-3.83
c1cnc(-c2noc(C[NH+]3CC[NH+](C4CCCC4)CC3)n2)cn1,-3.83
c1cnc(-c2noc(CN3CCN(C4CCCC4)CC3)n2)cn1,-3.82
c1cn(CCC[NH2+]C2CCCCCCC2)cn1,-4
c1cn(CCCNC2CCCCCCC2)cn1,-3.99
c1ccn2cc(-c3ccc4c(c3)OCCO4)nc2c1,-3.82
c1ccn2c(Sc3ncnc4sccc34)nnc2c1,-4.69897
c1ccn(-c2ccc(-c3ccn[nH]3)cc2)c1,-5.09
c1ccn(-c2ccc(-c3cc[nH]n3)cc2)c1,-5.09
c1ccc2sc(SNC3CCCCC3)nc2c1,-5.91714
c1ccc2sc(SN3CCOCC3)nc2c1,-3.81096
c1ccc2sc(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,-4
c1ccc2sc(NN=C3CCCC3)nc2c1,-4.87
c1ccc2sc(NCC3CCCO3)nc2c1,-3.82
c1ccc2sc(NC3=[NH+]C[NH+](CC4CCCO4)CN3)nc2c1,-3.88
c1ccc2sc(NC3=NCN(CC4CCCO4)CN3)nc2c1,-3.88
c1ccc2sc(C3CC[NH2+]CC3)nc2c1,-3.83
c1ccc2sc(C3CCNCC3)nc2c1,-3.82
c1ccc2oc(Oc3ccc(OCCN4CCCCC4)cc3)nc2c1,-3.32532
c1ccc2oc(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,-3.69897
c1ccc2oc(NC3=[NH+]C[NH+](C4CCCCC4)CN3)nc2c1,-5.37
c1ccc2oc(NC3=NCN(C4CCCCC4)CN3)nc2c1,-5.36
c1ccc2oc(-c3n[nH]cc3C[NH+]3CCSCC3)cc2c1,-4.05
c1ccc2oc(-c3csc(N4CCOCC4)n3)cc2c1,-4.78
c1ccc2oc(-c3ccn[nH]3)cc2c1,-4.83
c1ccc2oc(-c3cc[nH]n3)cc2c1,-4.83
c1ccc2oc(-c3[nH]ncc3CN3CCSCC3)cc2c1,-4.05
c1ccc2ncc(-c3nccnc3OC3CN(c4ccc5ccccc5n4)C3)cc2c1,-6
c1ccc2nc3c(nc2c1)OCC1CCCCN31,-4.01
c1ccc2nc3c(nc2c1)CCCC3,-3.82
c1ccc2nc3c(cc2c1)CCCCC3,-4.76
c1ccc2nc(SCc3cn4ccccc4n3)cnc2c1,-3.82
c1ccc2nc(N3CC(Oc4nccnc4N4CCOCC4)C3)ccc2c1,-3.46092
c1ccc2nc(N3CC(Oc4nccnc4N4CCCCC4)C3)ccc2c1,-6
c1ccc2nc(N3CC(Oc4nccnc4-c4cncnc4)C3)ccc2c1,-3.59517
c1ccc2nc(N3CC(Oc4nccnc4-c4ccncc4)C3)ccc2c1,-4.25181
c1ccc2nc(N3CC(Oc4nccnc4-c4cccc5ncccc45)C3)ccc2c1,-4.3279
c1ccc2nc(N3CC(Oc4nccnc4-c4ccc5scnc5c4)C3)ccc2c1,-6
c1ccc2nc(-c3nccs3)ccc2c1,-4.31
c1ccc2nc(-c3ccc(-n4ccnc4)cc3)ccc2c1,-4.64
c1ccc2n[nH]nc2c1,-0.7794
c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97
c1ccc2cc(OCCCn3ccnc3)ccc2c1,-3.69
c1ccc2cc(Cn3ccnc3)ccc2c1,-3.86
c1ccc2cc(C[NH2+]Cc3cccc4ccccc34)ccc2c1,-4.86
c1ccc2cc(CNCc3cccc4ccccc34)ccc2c1,-4.86
c1ccc2cc(C3N4CCCN34)ccc2c1,-3.88
c1ccc2cc(-n3nnnc3-c3ccncc3)ccc2c1,-4.82391
c1ccc2cc(-n3cnnc3-c3ccncc3)ccc2c1,-4.45593
c1ccc2cc(-c3nc(-c4ccc5nc[nH]c5c4)no3)ccc2c1,-5.60206
c1ccc2c3c(c(C[NH+]4CCCCC4)cc2c1)COC3,-3.77
c1ccc2c3c(c(C[NH+]4CCCC4)cc2c1)COC3,-3.83
c1ccc2c3c(c(CN4CCCC4)cc2c1)COC3,-3.82
c1ccc2c3c([nH]c2c1)C[NH2+]CC3,-3.83
c1ccc2c3c([nH]c2c1)CNCC3,-3.82
c1ccc2c3c([nH]c2c1)CC[NH2+]C3,-3.74
c1ccc2c3c([nH]c2c1)C1(CC[NH2+]CC1)[NH2+]CC3,-3.85
c1ccc2c3c([nH]c2c1)C1(CCNCC1)NCC3,-3.84
c1ccc2c(c1)nnn2-c1ncnc2sccc12,-5.56
c1ccc2c(c1)ncn2-c1ccc(-c2ccnc3ncnn23)cc1,-5.03
c1ccc2c(c1)nc1n2CCN1CC[NH+]1CCCC1,-3.72
c1ccc2c(c1)nc(Nc1ccc(N3CCCCC3)cc1)c1nncn12,-5.46
c1ccc2c(c1)nc(NCCNCCNc1nc3ccccc3n3cccc13)c1cccn12,-1.56051
c1ccc2c(c1)nc(NCCNCCNCCNc1nc3ccccc3n3cccc13)c1cccn12,-1.46878
c1ccc2c(c1)nc(NCCCNCCNc1nc3ccccc3n3cccc13)c1cccn12,-1.54424
c1ccc2c(c1)nc(NCCCNCCCNc1nc3ccccc3n3cccc13)c1cccn12,-1.61744
c1ccc2c(c1)nc(N1CCOCC1)c1ccccc12,-4.25
c1ccc2c(c1)nc(N1CCCCC1)c1ccccc12,-5.16
c1ccc2c(c1)[nH+]c(Nc1ccc(N3CCCCC3)cc1)c1nncn12,-5.46
c1ccc2c(c1)Sc1ccccc1N2CC1C[NH+]2CCC1CC2,-3.82
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,-3.82
c1ccc2c(c1)SCc1nnc(-c3ccncc3)n1-2,-3.97
c1ccc2c(c1)OCc1cn[nH]c1-2,-4.37
c1ccc2c(c1)OCCc1c-2[nH]c2ccccc12,-4.89
c1ccc2c(c1)OCCN2c1ccnc2[nH]ccc12,-3.60206
c1ccc2c(c1)OCC(C[NH2+]CC1COc3ccccc3O1)O2,-3.83
c1ccc2c(c1)OCC(CNCC1COc3ccccc3O1)O2,-3.82
c1ccc2c(c1)OCC(C1=[NH+]CCN1)O2,-3.75
c1ccc2c(c1)Nc1ccc3ccccc3c1S2,-6.5727
c1ccc2c(c1)NCC1CCCN21,-4.14
c1ccc2c(c1)Cc1cc3ccccc3nc1-2,-4.7
c1ccc2c(c1)CSc1ccccc1N2,-4.5
c1ccc2c(c1)COC(C[NH2+]C1CCCCC1)OC2,-3.83
c1ccc2c(c1)COC(C[NH+]1CCCCC1)OC2,-3.84
c1ccc2c(c1)COC(CNC1CCCCC1)OC2,-3.82
c1ccc2c(c1)COC(CN1CCCCC1)OC2,-3.84
c1ccc2c(c1)CN1CCCC1=N2,-3.74
c1ccc2c(c1)CCc1snnc1-2,-5.97
c1ccc2c(c1)CCc1ccccc1C2=C1CC[NH2+]CC1,-3.95
c1ccc2c(c1)CCc1ccccc1C2=C1CCNCC1,-3.95
c1ccc2c(c1)CCc1c-2nc2ccccc2c1N1CCOCC1,-4.48
c1ccc2c(c1)CCc1c-2[nH+]c2ccccc2c1N1CCOCC1,-4.48
c1ccc2c(c1)CC[NH2+]C2c1ccncc1,-3.83
c1ccc2c(c1)CC[NH+](C1CCCCC1)C2,-3.69
c1ccc2c(c1)CCNC2c1ccncc1,-3.82
c1ccc2c(c1)CCN(c1ccnc3[nH]ccc13)C2,-5
c1ccc2c(c1)CCCC2C1=[NH+]CCN1,-3.75
c1ccc2c(c1)CC1COCOC21,-1.65609
c1ccc2c(c1)CC1(CCCC1)N=C2N1CCOCC1,-3.88
c1ccc2c(c1)CC([NH+]1CCCCC1)c1ccccc1S2,-5.22
c1ccc2c(c1)CC(C[NH+]1CC[NH2+]CC1)O2,-3.83
c1ccc2c(c1)CC(CN1CCNCC1)O2,-3.82
c1ccc2c(c1)-c1ncnn1Cc1cncn1-2,-2.98516
c1ccc2c(SCc3cn4ccccc4n3)nncc2c1,-3.82
c1ccc2c(OC[C@H]3CCCN3c3ccnc4ncnn34)cncc2c1,-3.30657
c1ccc2c(OCCC[NH+]3CCCCCC3)cccc2c1,-3.94
c1ccc2c(OCCCC[NH+]3CCCC3)cccc2c1,-3.83
c1ccc2c(OCCCCN3CCCC3)cccc2c1,-3.83
c1ccc2c(Nc3nc(-c4ccncc4)nc4ccccc34)cccc2c1,-6.24
c1ccc2c(NCCc3c[nH]c4ccccc34)c3ccccc3nc2c1,-3.82
c1ccc2c(NCCCN3CCOCC3)cccc2c1,-2.7028
c1ccc2c(N3CC[NH2+]CC3)cccc2c1,-3.76
c1ccc2c(N3CCOCC3)c3c([nH+]c2c1)CCC3,-3.77
c1ccc2c(Cn3ccnc3)cccc2c1,-3.84
c1ccc2c(C[NH+]3CCSCC3)cccc2c1,-4.76
c1ccc2c(C[NH+]3CCOCC3)c[nH]c2c1,-3.83
c1ccc2c(C[NH+]3CCCCC3)c[nH]c2c1,-3.83
c1ccc2c(CN3CCSCC3)cccc2c1,-4.76
c1ccc2c(CN3CCOCC3)c[nH]c2c1,-3.82
c1ccc2c(CN3CCCCC3)c[nH]c2c1,-3.82
c1ccc2c(CC[NH2+]C3CCCCC3)c[nH]c2c1,-3.69
c1ccc2c(CCNc3c4ccccc4[nH+]c4ccccc34)c[nH]c2c1,-3.83
c1ccc2c(CC3=[NH+]CCN3)cccc2c1,-3.76
c1ccc2c(-c3cncc4ccccc34)cncc2c1,-3.9
c1ccc2c(-c3ccc4c(NCCCNCc5ccc6c(c5)OCO6)ccnc4c3)cccc2c1,-4.49485
c1ccc2c(-c3cc(C4CC[NH2+]CC4)n[nH]3)cccc2c1,-4.04
c1ccc2c(-c3cc(C4CCNCC4)[nH]n3)cccc2c1,-4.04
c1ccc2[nH]c(SN3CCOCC3)nc2c1,-4.34
c1ccc2[nH]c(SCC3CCCCO3)nc2c1,-3.82
c1ccc2[nH]c(Nc3ncc(CCNc4ncnc5ccsc45)s3)nc2c1,-3.39794
c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,-3
c1ccc2[nH]c(CCCc3nc4ccccc4[nH]3)nc2c1,-3.97
c1ccc2[nH]c(CCCCc3nc4ccccc4[nH]3)nc2c1,-3.83
c1ccc2[nH]c(-c3ccncc3)nc2c1,-3.82
c1ccc2[nH]c(-c3ccc4c(c3)OCO4)nc2c1,-3.84
c1ccc([C@H]2CN3CCSC3=N2)cc1,-0.69897
c1ccc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)c(OCCN2CCOCC2)c1,-5.18039
c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,-4.02228
c1ccc([C@H]([C@@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,-4.03621
c1ccc([C@@H]([C@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,-4.09152
c1ccc([C@@H]([C@H](c2ccccc2)N2CCCC2)N2CCCC2)cc1,-4
c1ccc(Sc2ccccn2)cc1,-3.82
c1ccc(Sc2ccccc2C[NH+]2CCCC2)cc1,-3.67
c1ccc(Sc2ccccc2)cc1,-4.36061
c1ccc(SSc2ccccn2)nc1,-3.94
c1ccc(SCc2nc3ccccc3s2)nc1,-4.16
c1ccc(SCc2cn3cccnc3n2)nc1,-3.82
c1ccc(SCCOCC[NH+]2CCOCC2)cc1,-3.79
c1ccc(SCCCC[NH+]2CCOCC2)cc1,-3.82
c1ccc(P(c2ccccn2)c2ccccn2)cc1,-3.82
c1ccc(P(c2ccccc2)c2ccccn2)cc1,-4.42
c1ccc(P(c2ccccc2)c2ccccc2)cc1,-6.2013
c1ccc(Oc2ncnc3sccc23)cc1,-3.96
c1ccc(Oc2nc(-c3cccnc3)nc3ccccc23)cc1,-5.63
c1ccc(Oc2nc(-c3ccccn3)nc3ccccc23)cc1,-3.84
c1ccc(Oc2cccc3cccnc23)nc1,-3.83
c1ccc(Oc2cccc(Oc3ccccc3)n2)cc1,-5.64
c1ccc(Oc2ccc3c(NCCCNCc4ccco4)ccnc3c2)cc1,-4.83863
c1ccc(Oc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,-4.83863
c1ccc(Oc2ccc(-c3ccn[nH]3)cc2)cc1,-4.99
c1ccc(Oc2ccc(-c3cc[nH]n3)cc2)cc1,-4.99
c1ccc(OCc2noc(C[NH+]3CCC4CCCCC4C3)n2)cc1,-4.74
c1ccc(OCc2noc(CN3CC[C@@H]4CCCC[C@H]4C3)n2)cc1,-4.74
c1ccc(OCc2nnc3n2N=C(c2ccccc2)CS3)cc1,-4.56
c1ccc(OCc2nnc3n2CCCCC3)cc1,-4.18
c1ccc(OCc2nc(-c3ccncc3)no2)cc1,-3.84
c1ccc(OCC[NH+]2CCOCC2)cc1,-3.67
c1ccc(OCCOc2ccccc2)cc1,-3.98853
c1ccc(OCCCn2ccnc2)cc1,-3.91
c1ccc(OCCCC[NH+]2CCCCC2)cc1,-3.9
c1ccc(OCCCCN2CCCCC2)cc1,-3.9
c1ccc(OCC2CC[NH2+]CC2)nc1,-3.76
c1ccc(Nc2nnc(-c3cccc4ccccc34)o2)cc1,-5.68
c1ccc(Nc2ncnc3sccc23)cc1,-3.82
c1ccc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)nc1,-6
c1ccc(Nc2ncnc3[nH]ncc23)cc1,-4.02
c1ccc(Nc2nc3ccccc3s2)cc1,-5.66
c1ccc(Nc2nc3ccccc3n3nnnc23)cc1,-6
c1ccc(Nc2nc3c(s2)CCc2n[nH]cc2-3)cc1,-7
c1ccc(Nc2nc(NCC[NH+]3CCOCC3)nc(Nc3ccccc3)n2)cc1,-4.04
c1ccc(Nc2nc(NCCN3CCOCC3)nc(Nc3ccccc3)n2)cc1,-4.04
c1ccc(Nc2nc(CSc3ncn[nH]3)cs2)cc1,-3.87
c1ccc(Nc2nc(CSc3nc[nH]n3)cs2)cc1,-3.87
c1ccc(Nc2nc(-c3ccccn3)cs2)nc1,-4.22185
c1ccc(Nc2nc(-c3ccccn3)cs2)cc1,-3.79588
c1ccc(Nc2nc(-c3ccccc3)ns2)cc1,-6.1
c1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1,-5.08
c1ccc(Nc2ccc3ccccc3c2)cc1,-5.49591
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,-6.23945
c1ccc(Nc2ccc(-n3ccnc3)nn2)cc1,-3.89
c1ccc(Nc2[nH]cnc3nncc2-3)cc1,-4.02
c1ccc(NNC2=[NH+]CCCCC2)cc1,-3.85
c1ccc(NNC2=NCCS2)cc1,-4.05
c1ccc(NN=C2CCCc3ccccc32)nc1,-4.26
c1ccc(NCc2ccncc2)cc1,-3.82
c1ccc(NCc2ccccn2)cc1,-3.87
c1ccc(NCc2cccc3ccccc23)nc1,-4.76
c1ccc(NC2=[NH+]c3cccc4cccc2c34)cc1,-5.61
c1ccc(NC2=Nc3cccc4cccc2c34)cc1,-5.61
c1ccc(NC2=NCCS2)cc1,-3.88
c1ccc(NC2=NCCCS2)cc1,-3.67
c1ccc(NC(c2ccccc2)c2ccncc2)cc1,-4.01
c1ccc(N=Nc2ccc3cccccc2-3)cc1,-6.06
c1ccc(N=NNc2ccccc2)cc1,-2.596
c1ccc(N2CC[NH+](Cc3nc4ccccc4[nH]3)CC2)nc1,-3.85
c1ccc(N2CC[NH+](Cc3cnc(N4CCOCC4)s3)CC2)cc1,-3.82
c1ccc(N2CC[NH+](Cc3cn4ccccc4n3)CC2)cc1,-3.86
c1ccc(N2CC[NH+](Cc3ccc4c(c3)OCO4)CC2)nc1,-3.97
c1ccc(N2CC[NH+](CC3CCCCC3)CC2)cc1,-4.18
c1ccc(N2CC[NH+](C3CC4CCC3C4)CC2)cc1,-3.98
c1ccc(N2CCOCCOCCOCCOCCOCC2)cc1,-3.82
c1ccc(N2CCOCCOCCOCCOCC2)cc1,-3.82
c1ccc(N2CCN(c3nc4ccccc4[nH]3)CC2)nc1,-3.83
c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,-3.85
c1ccc(N2CCN(Cc3cnc(N4CCOCC4)s3)CC2)cc1,-3.82
c1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,-3.86
c1ccc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,-3.97
c1ccc(N2CCN(CC3CCCCN3)C2)cc1,-3.36452
c1ccc(N2CCN(CC3CCCCC3)CC2)cc1,-4.18
c1ccc(N2CCN(C3CC4CCC3C4)CC2)cc1,-3.98
c1ccc(N2CCCCC2)c(Nc2nc3ccccc3n3cnnc23)c1,-6.54
c1ccc(N2CCCCC2)c(Nc2[nH+]c3ccccc3n3cnnc23)c1,-6.54
c1ccc(N2CC3CCc4ccccc4C3=N2)cc1,-5.92
c1ccc(N/N=C2\CCCc3ccccc32)nc1,-4.26
c1ccc(Cn2nnnc2-c2cccs2)cc1,-4.29
c1ccc(Cn2nnc3ccccc32)cc1,-4.29
c1ccc(Cn2ncc3c(Nc4ccccc4)ncnc32)cc1,-4.9
c1ccc(Cn2cnc3cccc4cccc2c43)cc1,-5.18
c1ccc(Cn2c[n+](Cc3ccccc3)cn2)cc1,-3.77
c1ccc(Cn2c[n+](Cc3ccccc3)c3ccccc32)cc1,-3.84
c1ccc(Cn2c(NCc3ccncc3)nc3ccccc32)cc1,-3.82
c1ccc(Cn2c(NCc3ccccn3)nc3ccccc32)cc1,-3.82
c1ccc(Cc2noc(C[NH+]3CCCCC3CCc3ccccn3)n2)cc1,-3.82
c1ccc(Cc2noc(CN3CCCCC3CCc3ccccn3)n2)cc1,-3.82
c1ccc(Cc2nnc(-c3cccs3)o2)cc1,-3.893
c1ccc(Cc2nc3ccccc3[nH]2)cc1,-3.82
c1ccc(Cc2ccc3c(NCCCNCc4ccco4)ccnc3c2)cc1,-5.37675
c1ccc(Cc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,-5.37675
c1ccc(Cc2ccc(OCCn3ccnc3)cc2)cc1,-3.83
c1ccc(Cc2ccc(OCC[NH+]3CCOCC3)cc2)cc1,-3.85
c1ccc(Cc2cc[n+](Cc3ccccn3)cc2)cc1,-3.71
c1ccc(Cc2c[nH]c3ccccc23)cc1,-4.49
c1ccc(C[n+]2ccc3ccccc3c2)cc1,-3.7
c1ccc(C[NH2+]Cc2ccco2)cc1,-3.75
c1ccc(C[NH2+]CCc2c[nH]c3ccccc23)cc1,-3.83
c1ccc(C[NH2+]C23CC4CC(CC(C4)C2)C3)nc1,-3.73
c1ccc(C[NH+]2CCc3nc4ccccc4cc3C2)cc1,-3.92
c1ccc(C[NH+]2CC[NH2+]CC2)nc1,-3.77
c1ccc(C[NH+]2CC[NH+](Cc3nnc(-c4ccccc4)o3)CC2)cc1,-3.87
c1ccc(C[NH+]2CC[NH+](Cc3ccc4ccccc4c3)CC2)cc1,-4.13
